Algorithm,File,Minimum_Utility,Execution_Time,Frequent_Patterns
EFIM,chainstore,150000,9136,9741
EFIM,chainstore,160000,8733,8782
EFIM,chainstore,170000,8377,7931
EFIM,chainstore,180000,7859,7168
EFIM,chainstore,190000,7458,6541
EFIM,chainstore,200000,7184,6037
EFIM,accidents_utility_spmf,15000000,14732,87074
EFIM,accidents_utility_spmf,16000000,10482,52238
EFIM,accidents_utility_spmf,17000000,7750,31041
EFIM,accidents_utility_spmf,18000000,6077,18185
EFIM,accidents_utility_spmf,19000000,4886,10529
EFIM,accidents_utility_spmf,20000000,4153,5991
EFIM,kosarak_utility_spmf,700000,11977,268
EFIM,kosarak_utility_spmf,800000,5272,191
EFIM,kosarak_utility_spmf,900000,4212,152
EFIM,kosarak_utility_spmf,1000000,3695,125
EFIM,kosarak_utility_spmf,1100000,3429,102
EFIM,kosarak_utility_spmf,1200000,3450,87
