Algorithm,Method,File,Minimum_Utility,Execution_Time,Frequent_Patterns,GPU_Memory_Usage,CPU_Memory_Usage
cuEFIM,Unified-no_hash_table,chainstore,150000,17517,9741,467968.0,17918.976
cuEFIM,Unified-hash_table,chainstore,150000,6380,9741,468992.0,6514.688
cuEFIM,Unified-no_hash_table_shared_memory,chainstore,150000,15965,9741,467968.0,16328.704
cuEFIM,Unified-hash_table_shared_memory,chainstore,150000,5862,9741,468992.0,5984.256
cuEFIM,Unified-no_hash_table,chainstore,160000,16062,8782,471040.0,16431.104
cuEFIM,Unified-hash_table,chainstore,160000,5472,8782,471040.0,5585.92
cuEFIM,Unified-no_hash_table_shared_memory,chainstore,160000,14164,8782,471040.0,14487.552
cuEFIM,Unified-hash_table_shared_memory,chainstore,160000,5195,8782,471040.0,5303.296
cuEFIM,Unified-no_hash_table,chainstore,170000,15725,7931,467968.0,16087.04
cuEFIM,Unified-hash_table,chainstore,170000,5319,7931,467968.0,5432.32
cuEFIM,Unified-no_hash_table_shared_memory,chainstore,170000,14909,7931,467968.0,15251.456
cuEFIM,Unified-hash_table_shared_memory,chainstore,170000,5276,7931,467968.0,5387.264
cuEFIM,Unified-no_hash_table,chainstore,180000,15003,7168,466944.0,15349.76
cuEFIM,Unified-hash_table,chainstore,180000,5037,7168,466944.0,5144.576
cuEFIM,Unified-no_hash_table_shared_memory,chainstore,180000,13735,7168,466944.0,14050.304
cuEFIM,Unified-hash_table_shared_memory,chainstore,180000,4948,7168,466944.0,5053.44
cuEFIM,Unified-no_hash_table,chainstore,190000,14877,6541,470016.0,15221.76
cuEFIM,Unified-hash_table,chainstore,190000,4948,6541,470016.0,5054.464
cuEFIM,Unified-no_hash_table_shared_memory,chainstore,190000,13357,6541,471040.0,13660.16
cuEFIM,Unified-hash_table_shared_memory,chainstore,190000,4553,6541,470016.0,4649.984
cuEFIM,Unified-no_hash_table,chainstore,200000,14221,6037,466944.0,14551.04
cuEFIM,Unified-hash_table,chainstore,200000,4604,6037,466944.0,4703.232
cuEFIM,Unified-no_hash_table_shared_memory,chainstore,200000,12982,6037,466944.0,13282.304
cuEFIM,Unified-hash_table_shared_memory,chainstore,200000,4387,6037,466944.0,4481.024
cuEFIM,Unified-no_hash_table,accidents_utility_spmf,15000000,12336,87074,430080.0,12435.456
cuEFIM,Unified-hash_table,accidents_utility_spmf,15000000,12366,87074,430080.0,12465.152
cuEFIM,Unified-no_hash_table_shared_memory,accidents_utility_spmf,15000000,10735,87074,429056.0,10797.056
cuEFIM,Unified-hash_table_shared_memory,accidents_utility_spmf,15000000,10849,87074,430080.0,10914.816
cuEFIM,Unified-no_hash_table,accidents_utility_spmf,16000000,8090,52238,429056.0,8164.352
cuEFIM,Unified-hash_table,accidents_utility_spmf,16000000,8057,52238,429056.0,8131.584
cuEFIM,Unified-no_hash_table_shared_memory,accidents_utility_spmf,16000000,6956,52238,429056.0,7003.136
cuEFIM,Unified-hash_table_shared_memory,accidents_utility_spmf,16000000,7059,52238,429056.0,7108.608
cuEFIM,Unified-no_hash_table,accidents_utility_spmf,17000000,5558,31041,429056.0,5620.736
cuEFIM,Unified-hash_table,accidents_utility_spmf,17000000,5583,31041,429056.0,5646.336
cuEFIM,Unified-no_hash_table_shared_memory,accidents_utility_spmf,17000000,4857,31041,428032.0,4900.864
cuEFIM,Unified-hash_table_shared_memory,accidents_utility_spmf,17000000,4979,31041,429056.0,5031.936
cuEFIM,Unified-no_hash_table,accidents_utility_spmf,18000000,4075,18185,429056.0,4135.936
cuEFIM,Unified-hash_table,accidents_utility_spmf,18000000,3951,18185,429056.0,4007.936
