12 16 28 #UTIL: 20250764
12 16 43 #UTIL: 20377837
17 28 43 #UTIL: 20460670
1 16 17 28 #UTIL: 20091846
1 16 28 43 #UTIL: 20268756
8 16 17 43 #UTIL: 20006562
12 15 16 43 #UTIL: 20127128
12 16 17 18 #UTIL: 20057297
12 16 17 21 #UTIL: 22736562
12 16 17 28 #UTIL: 24590862
12 16 17 31 #UTIL: 20589957
12 16 17 43 #UTIL: 25077018
12 16 18 28 #UTIL: 21646250
12 16 18 43 #UTIL: 21904514
12 16 21 28 #UTIL: 22735781
12 16 21 43 #UTIL: 23614746
12 16 25 28 #UTIL: 20509421
12 16 25 43 #UTIL: 20586514
12 16 28 31 #UTIL: 22090110
12 16 28 43 #UTIL: 24926680
12 16 31 43 #UTIL: 22127361
12 17 28 43 #UTIL: 21707426
12 21 28 43 #UTIL: 20007986
15 16 17 21 #UTIL: 20932542
15 16 17 28 #UTIL: 22152254
15 16 17 43 #UTIL: 22657425
15 16 18 43 #UTIL: 20097113
15 16 21 28 #UTIL: 20393158
15 16 21 43 #UTIL: 21232830
15 16 28 31 #UTIL: 20188446
15 16 28 43 #UTIL: 22091294
15 16 31 43 #UTIL: 20305010
17 18 28 43 #UTIL: 21668130
17 21 28 43 #UTIL: 22265204
17 21 31 43 #UTIL: 20069801
17 25 28 43 #UTIL: 20429463
17 28 31 43 #UTIL: 21876273
21 28 31 43 #UTIL: 20212689
1 12 16 17 28 #UTIL: 21137681
1 12 16 17 43 #UTIL: 20942992
1 12 16 28 43 #UTIL: 21178655
1 16 17 18 28 #UTIL: 21103544
1 16 17 18 43 #UTIL: 20917712
1 16 17 21 28 #UTIL: 21168850
1 16 17 21 43 #UTIL: 21399623
1 16 17 28 31 #UTIL: 21514889
1 16 17 28 43 #UTIL: 23028355
1 16 17 31 43 #UTIL: 21314110
1 16 18 28 43 #UTIL: 21145830
1 16 21 28 43 #UTIL: 20769422
1 16 28 31 43 #UTIL: 21433346
8 12 16 17 28 #UTIL: 20637144
8 12 16 17 43 #UTIL: 21099941
8 12 16 28 43 #UTIL: 20628211
8 16 17 18 28 #UTIL: 20596756
8 16 17 18 43 #UTIL: 21070357
8 16 17 21 24 #UTIL: 20045672
8 16 17 21 28 #UTIL: 20407181
8 16 17 21 43 #UTIL: 21344403
8 16 17 24 28 #UTIL: 21478241
8 16 17 24 43 #UTIL: 21999800
8 16 17 28 31 #UTIL: 20802676
8 16 17 28 43 #UTIL: 22434496
8 16 17 31 43 #UTIL: 20998021
8 16 18 28 43 #UTIL: 20590325
8 16 21 24 43 #UTIL: 20170363
8 16 24 28 43 #UTIL: 21339116
8 16 28 31 43 #UTIL: 20701868
12 14 16 17 43 #UTIL: 20393515
12 15 16 17 18 #UTIL: 20503256
12 15 16 17 21 #UTIL: 22224958
12 15 16 17 28 #UTIL: 23303654
12 15 16 17 31 #UTIL: 20860911
12 15 16 17 43 #UTIL: 23897909
12 15 16 18 28 #UTIL: 20920012
12 15 16 18 43 #UTIL: 21343740
12 15 16 21 28 #UTIL: 21400655
12 15 16 21 43 #UTIL: 22334405
12 15 16 28 31 #UTIL: 21299408
12 15 16 28 43 #UTIL: 23081435
12 15 16 31 43 #UTIL: 21486944
12 15 17 28 43 #UTIL: 20542102
12 16 17 18 21 #UTIL: 24310746
12 16 17 18 25 #UTIL: 20791964
12 16 17 18 28 #UTIL: 25975472
12 16 17 18 31 #UTIL: 22266029
12 16 17 18 38 #UTIL: 20312197
12 16 17 18 43 #UTIL: 26594098
12 16 17 21 24 #UTIL: 20806980
12 16 17 21 25 #UTIL: 21675118
12 16 17 21 27 #UTIL: 21994673
12 16 17 21 28 #UTIL: 26525309
12 16 17 21 29 #UTIL: 21611463
12 16 17 21 31 #UTIL: 24521912
12 16 17 21 38 #UTIL: 21289931
12 16 17 21 43 #UTIL: 27781609
12 16 17 24 28 #UTIL: 22264066
12 16 17 24 43 #UTIL: 22918238
12 16 17 25 28 #UTIL: 23926465
12 16 17 25 31 #UTIL: 20770294
12 16 17 25 43 #UTIL: 24213698
12 16 17 27 28 #UTIL: 21448539
12 16 17 27 43 #UTIL: 22274448
12 16 17 28 29 #UTIL: 22620011
12 16 17 28 31 #UTIL: 26230430
12 16 17 28 38 #UTIL: 21603681
12 16 17 28 41 #UTIL: 20795377
12 16 17 28 43 #UTIL: 28663854
12 16 17 28 59 #UTIL: 20788741
12 16 17 29 43 #UTIL: 23400251
12 16 17 31 38 #UTIL: 20344557
12 16 17 31 43 #UTIL: 26550260
12 16 17 38 43 #UTIL: 22531159
12 16 17 41 43 #UTIL: 21065587
12 16 17 43 59 #UTIL: 21384764
12 16 17 43 63 #UTIL: 20289988
